FASTA_NAME	IP_ES_25_N1	Z3_IB_4_N1	Z1_IB_10_N1	Z1_IB_5_N1	Z3_IB_8_N1	ECI_IB_4_N1	ECI_IB_5_N1	Gs(U)_IB_12_N1	Gs(U)_IB_68_N1	Gs(U)_IB_58_N1	Gs(U)_IB_60_N1	Z1_NO_sideL35_M	HP_NO_sideL35_CV	Z1_NO_sideR35_CV	Pb_NO_sideR35_S	IP_NO_sideL35_SI71	Z1_NO_PRT_CV	Z2_NO_AHR_CV	Gs(U)_NO_ALR_SI71	Z3_NO_UCR_S	Z3_NO_UCR_N1	ECI_NO_UCR_CV	Pa_NO_BSR_SI71	ISA_NO_NPR_S	Z3_NO_NPR_V	IP_NO_PLR_S	Pb_NO_PCR_V	ECI_NO_PCR_CV
protein|265	14.99386	20.28506	13.45660	6.94619	13.44253	142.00990	160.33966	0.06618	0.04362	0.03857	0.03566	0.80019	-3.82482	-124.07073	0.56920	0.60875	27.22677	12.40772	0.54531	1.15284	10.69000	0.48198	0.51479	-1.08823	1.73763	0.44617	0.01518	0.56170
protein|289	2.94098	31.55660	9.48513	8.02415	16.63115	22.77140	19.31114	0.03905	0.03836	0.06366	0.04597	0.90693	-3.53378	-12.90795	0.57001	0.56592	9.34486	11.83048	0.55740	1.32449	14.34000	0.46374	0.52205	-1.15407	0.97360	0.69195	0.01501	0.54223
protein|319	5.44819	14.28964	7.34874	8.58217	28.50810	28.28242	33.36055	0.03732	0.05729	0.04529	0.04808	23.79889	1,136.36663	5.30684	0.63572	0.55920	21.52937	9.72933	0.53356	-1.08036	3.02000	0.37817	0.53303	-1.48781	0.97962	0.62413	0.01630	0.64430
protein|329	3.94897	21.36387	7.66164	6.97098	36.67953	134.90582	159.79966	0.05174	0.05005	0.05729	0.04982	17.22372	-8.31133	3.45976	0.64456	0.52394	8.27622	15.72029	0.52370	-0.89808	1.34000	0.39334	0.55680	-1.54901	1.21893	0.55682	0.01610	0.61092
protein|359	7.41123	13.62269	9.95320	7.43140	13.67454	39.63941	29.64852	0.03380	0.10040	0.05411	0.03716	1.61704	-3.14749	-403.00533	0.62655	0.61554	11.95776	-118.96595	0.52243	-0.46365	-3.02000	0.38682	0.48878	-0.93873	1.38218	0.62979	0.01787	0.59397
protein|417	5.10860	48.96063	12.63740	7.46544	26.73772	49.45396	80.72048	0.10348	0.04831	0.04868	0.05201	1.96511	-33.59346	12.43606	0.67256	0.62354	39.58858	350.72259	0.54394	1.91661	14.16000	0.46911	0.49485	-0.89904	0.87261	0.57814	0.01129	0.63819
protein|427	4.32808	18.93132	6.97782	11.00669	24.78984	26.90935	31.92772	0.06543	0.06277	0.04831	0.03431	1.93356	-8.10934	13.49870	0.90859	0.57680	17.84868	13.75884	0.56099	1.90708	13.48000	0.48109	0.49694	-0.76947	0.91768	0.47943	0.01173	0.62307
protein|432	-2.70059	24.95766	9.82705	6.97782	51.27994	54.28652	73.08906	0.06739	0.04772	0.04550	0.03710	1.86457	-8.95502	6.03937	1.03846	0.54556	13.35966	5.84151	0.55537	1.83311	13.55000	0.48712	0.49694	-0.84525	0.72601	0.56495	0.01241	0.60174
protein|462	16.29896	17.89993	9.70146	11.71567	33.65964	77.56146	100.57857	0.06449	0.04530	0.05833	0.05023	1.10491	-13.52537	-13.20570	0.98349	0.54840	-53.10857	-6.91156	0.50252	1.72515	12.62000	0.50911	0.53477	-0.79330	0.41371	0.59076	0.01610	0.61092
protein|524	5.82675	22.57651	17.76501	8.76659	39.71084	48.29061	65.06238	0.05650	0.03061	0.03696	0.03320	1.03781	9.06133	147.46447	0.66961	0.54039	-19.74689	-7.43672	0.54538	1.13015	9.39000	0.50149	0.56490	-1.05824	0.68184	0.73341	0.01787	0.59397
protein|537	5.19212	33.37925	8.32234	6.61595	24.45471	25.56498	29.64569	0.06017	0.05201	0.05351	0.06515	2.05674	11.85789	210.62290	0.87416	0.60020	-10.16519	-6.31392	0.51381	1.12007	7.22000	0.47373	0.57401	-1.37110	0.88395	0.62321	0.01942	0.62288
protein|574	5.92379	21.48088	7.25664	9.35357	19.93639	37.80858	28.13628	0.03462	0.05739	0.04374	0.04159	1.75061	-10.87929	3.65893	0.39999	0.58330	11.03710	-7.69858	0.48611	1.17439	10.71000	0.51689	0.66667	-1.21969	1.38476	0.62479	0.01694	0.59906
protein|614	6.75986	16.42963	16.21532	12.47834	21.10563	57.72443	42.31446	0.09202	0.11312	0.05854	0.05010	0.76283	-4.12396	2.44609	0.67821	0.59285	3.76922	-4.84658	0.48318	0.99480	0.59000	0.43453	0.36537	-0.50088	1.56898	0.75959	0.01928	0.62932
protein|616	6.14133	13.99859	24.95534	7.83410	27.82547	32.08884	35.21582	0.04897	0.05654	0.05010	0.04268	0.76453	-4.14480	4.03971	0.45445	0.61457	5.14149	-4.43971	0.48318	1.01201	0.60000	0.42910	0.41080	-0.45253	1.51394	0.78145	0.02052	0.63930
protein|643	6.81751	11.84878	10.53311	10.97598	8.35470	31.38523	34.96713	0.20823	0.04536	0.05601	0.03635	0.52102	-2.42287	-16.74069	0.47458	0.64000	6.60257	-14.71498	0.44653	1.14738	0.40000	0.42220	0.44516	-0.73474	1.44329	0.70558	0.01715	0.60468
protein|653	4.75789	11.64885	17.46991	8.84205	30.52284	25.90578	27.20900	0.06491	0.04187	0.04536	0.03688	0.51292	-4.22985	-4.71145	0.36303	0.62863	-55.38067	-5.82694	0.41726	1.28983	-3.61000	0.41769	0.49339	-0.90058	0.96518	0.91435	0.01841	0.60302
protein|715	5.95208	28.56389	7.48698	6.27230	23.63334	62.05048	52.81639	0.04681	0.03955	0.04912	0.04440	6.84099	-22.02965	-57.18237	0.44939	0.63432	-18.17012	6.16752	0.53112	1.48164	4.67000	0.47865	0.53474	-1.48198	0.66884	0.38287	0.01992	0.62751
protein|722	5.85006	35.10981	7.57431	10.21392	25.08941	20.34659	19.77772	0.03144	0.03783	0.03176	0.03479	7.30737	-10.06542	-8.08537	0.15950	0.63432	-16.87002	6.82730	0.52393	1.46921	7.56000	0.47559	0.48446	-1.45340	0.61891	0.44470	0.01826	0.63241
protein|740	15.05736	57.01678	8.93278	10.84670	9.35149	53.29642	63.42779	0.03552	0.12275	0.03517	0.03194	1.08098	12.33650	-15.68887	0.34950	0.66228	-10.67298	10.28817	0.52774	1.45796	7.30000	0.46962	0.47719	-1.12684	0.65950	0.43325	0.01481	0.63610
protein|765	6.22185	21.06867	7.83687	14.37209	26.23068	95.05239	83.86236	0.02918	0.04207	0.04864	0.08211	2.27238	-28.71200	-7.29968	0.34906	0.58330	-7.65413	10.11180	0.46755	-0.97674	-0.10000	0.38800	0.50355	-0.42475	2.11029	0.55016	0.01653	0.56521
protein|810	4.61404	16.22481	8.67410	10.08056	14.77842	74.23718	72.08043	0.04164	0.11848	0.03615	0.05485	-6.96265	-8.73505	35.59311	0.44878	0.53853	-10.03755	3.38579	0.41886	-0.99168	0.14000	0.26146	0.47802	-1.33322	2.10570	0.91339	0.01574	0.56910
protein|824	3.93139	15.69394	7.11327	9.52811	16.78724	74.01194	74.78571	0.09458	0.04606	0.03374	0.03350	-15.26562	-6.59568	12.40730	0.69069	0.52768	-38.55472	4.62563	0.49111	1.23617	6.64000	0.43876	0.51508	-1.27209	1.88693	0.68463	0.01291	0.60264
protein|847	5.90930	17.57493	18.50456	8.66516	20.70990	50.56025	40.45062	0.08321	0.04069	0.06246	0.04509	6.52405	-5.60825	4.66688	1.22855	0.61827	8.60854	3.98544	0.54508	1.13696	6.05000	0.46141	0.54501	-1.02341	1.69475	0.39701	0.01241	0.60174
protein|870	4.21525	37.52529	7.57370	7.93451	22.18462	46.24665	74.56977	0.03374	0.04866	0.07092	0.07867	1.60698	-3.68462	4.06338	1.09936	0.60986	3.93896	4.44984	0.58113	1.55344	8.13000	0.47698	0.55970	-0.54121	1.17312	0.36528	0.01408	0.63431
protein|874	5.30826	22.18462	6.65166	10.09123	18.44758	33.63382	29.64233	0.04203	0.14925	0.04377	0.03584	1.72978	-3.11747	3.07581	0.85482	0.62886	3.51717	4.69399	0.59656	1.22184	5.33000	0.46698	0.53510	-0.57251	1.21523	0.34372	0.01450	0.62817
protein|896	7.05215	41.04880	11.93182	11.64614	13.48327	41.86646	39.29186	0.03832	0.04465	0.06309	0.07235	1.03000	-2.05392	1.80190	0.96877	0.52929	2.15769	7.55398	0.54336	-1.02573	1.20000	0.41918	0.49113	-0.27887	1.05384	0.28990	0.01395	0.62969
protein|913	5.84023	29.44429	9.84956	9.44017	20.88852	39.30121	33.10713	0.04947	0.12562	0.12562	0.12562	0.90936	-2.07823	1.68813	0.89392	0.60440	2.03250	-2.37492	0.32201	-0.78165	-0.78000	0.41541	0.48420	0.95438	0.28037	0.44139	0.01518	0.63740
protein|925	-1.79172	22.63828	7.17411	11.09338	32.78755	84.95311	36.30318	0.04066	0.12562	0.12562	0.12562	1.46317	-1.75127	2.30323	-2.60182	0.65737	2.58744	-1.41412	0.19664	-0.56358	-1.92000	0.40101	0.31092	1.70929	0.19499	0.36449	0.01630	0.64430
protein|8	5.87695	259.25926	333.33333	333.33333	259.25926	466.66667	466.66667	0.12562	0.05737	0.05228	0.05127	0.08774	1.53020	4.28655	0.89861	0.22372	5.77663	-0.75728	0.20952	0.69517	-3.70000	0.40275	0.00000	0.75087	0.98060	0.65689	0.01613	0.73061
protein|65	5.59644	13.99157	11.90123	9.79074	22.30440	25.13610	23.00900	0.04604	0.03589	0.05533	0.10655	1.73676	-2.86047	27.55780	0.71461	0.55873	11.39899	6.66500	0.51061	1.62293	1.44000	0.49465	0.60751	-0.91584	1.48479	0.50740	0.01636	0.63376
protein|94	5.43141	11.98738	8.64738	7.77875	11.93234	38.70493	43.11785	0.03394	0.04332	0.07381	0.06285	1.06505	-18.94213	-6.85453	0.46269	0.52250	-11.83278	27.84307	0.51896	1.21850	6.98000	0.54477	0.52494	-0.96869	0.75936	0.35790	0.01869	0.62529
protein|96	-1.30552	12.06985	8.64151	6.83416	12.90325	67.50563	92.55780	0.03046	0.04709	0.06285	0.03870	1.79309	-5.88298	-4.77077	0.35072	0.54279	-13.41598	6.50642	0.52880	1.21850	6.98000	0.54477	0.52134	-1.03459	0.78545	0.29218	0.01776	0.61694
protein|130	5.49086	22.77071	6.03715	6.23934	11.95980	37.44596	51.67703	0.05936	0.05044	0.03096	0.03683	1.02023	10.08100	-7.81451	0.60480	0.62715	-6.58167	-31.43413	0.48023	1.12675	3.84000	0.47134	0.50826	-1.19984	0.49039	0.28772	0.01190	0.54681
protein|143	4.52353	15.28873	8.85726	8.55283	33.64979	26.23780	26.14454	0.04810	0.05927	0.03505	0.04001	4.75149	-23.57347	-9.35077	0.64906	0.62442	-11.40859	-48.31527	0.47243	1.20756	1.55000	0.44176	0.50035	-0.97464	0.67983	0.52339	0.01518	0.63740
protein|154	14.77937	16.26638	9.04374	7.01604	24.25782	28.69359	29.35969	0.03554	0.05545	0.06812	0.16897	1.72632	-9.83455	-7.43632	0.49856	0.57706	-17.47492	-16.69034	0.45672	1.06624	5.50000	0.44638	0.51556	-1.18335	0.64293	0.65315	0.01518	0.63740
protein|192	6.35339	46.05263	8.49793	7.28458	14.97057	350.00000	267.88036	0.05138	0.04757	0.04406	0.04815	1.03010	4.34580	-2.62058	0.37386	0.60783	-3.10646	-2.14762	0.45287	1.36026	7.87000	0.49068	0.52172	-1.40382	0.62905	0.92273	0.01210	0.70732
protein|228	0.18169	23.73429	11.52719	6.88001	27.66024	47.38075	69.37009	0.04878	0.05135	0.08165	0.05374	2.36218	2.72770	13.66428	0.74635	0.56475	-5.40131	-3.10682	0.51583	1.47830	4.27000	0.46342	0.55310	-1.27354	1.41185	0.45670	0.01344	0.52056
protein|240	5.11106	36.66464	6.90070	8.30881	15.76710	27.40336	22.11758	0.04815	0.03617	0.03958	0.03906	-10.11518	4.60349	3.92958	0.75763	0.57762	-12.68758	-4.09544	0.51900	1.50260	4.47000	0.44467	0.51496	-1.41673	1.49169	0.47742	0.01291	0.48860
protein|279	5.43508	29.90339	12.88485	9.61637	10.21995	44.88041	50.95971	0.03512	0.06366	0.05988	0.06795	1.00443	-4.34310	-28.73511	0.59597	0.55416	15.02128	48.27112	0.54231	1.11119	12.93000	0.46771	0.49485	-1.07655	1.47598	0.66882	0.01450	0.51715
protein|294	3.99017	15.77001	7.43559	9.48513	20.96666	36.18567	50.73427	0.05367	0.03853	0.04304	0.04459	0.96734	-6.20881	-45.76108	0.75161	0.57683	18.04832	8.41007	0.54546	1.32503	14.42000	0.46997	0.52139	-1.31929	0.96294	0.70851	0.01561	0.61943
protein|327	4.41854	18.81815	8.00476	6.01180	25.60806	37.72034	65.20580	0.06795	0.03891	0.05452	0.05729	78.34653	-23.92225	3.43401	0.65266	0.51316	15.34023	21.51146	0.52370	-0.90888	1.35000	0.38911	0.53731	-1.53368	1.19060	0.55408	0.01610	0.61092
protein|341	-2.10526	34.34915	8.60806	8.21948	16.35481	38.03052	91.35777	0.04771	0.07975	0.04077	0.03969	1.94334	-3.97173	4.50855	0.55427	0.54567	5.92265	5.41604	0.50045	-0.59122	-1.47000	0.39053	0.52205	-1.47718	1.81574	0.53712	0.01706	0.58233
protein|412	6.42671	25.38022	7.46544	8.75348	57.94547	33.71565	33.19177	0.03873	0.04934	0.06423	0.07891	1.87520	-48.26713	8.26612	0.71408	0.62738	18.65855	15.95808	0.56339	1.51144	12.20000	0.45717	0.50643	-0.93088	0.89140	0.69241	0.00941	0.64931
protein|420	5.95164	29.86865	9.20501	6.37053	43.92720	104.56642	65.93280	0.07009	0.03889	0.07353	0.04934	1.97582	-22.42847	18.42435	0.57473	0.58318	55.13661	-43.98454	0.55286	1.92321	14.32000	0.47405	0.49694	-0.85114	0.88702	0.55448	0.01232	0.61487
protein|429	15.38641	21.45033	8.30308	9.73846	30.08027	30.53604	25.39911	0.04820	0.04360	0.03431	0.04771	8.50296	-5.16032	15.21227	0.90965	0.58485	15.14849	6.56873	0.56116	1.90708	13.48000	0.48109	0.49694	-0.86701	0.94224	0.51049	0.01173	0.62307
protein|447	-0.37520	22.76569	6.79620	6.45853	9.23518	84.66596	83.80701	0.06216	0.04386	0.04394	0.03977	1.03547	-8.96048	-24.91388	0.86115	0.47381	39.96202	6.11175	0.51410	3.05223	9.90000	0.45520	0.46575	-0.96782	0.46280	0.29315	0.01197	0.61084
protein|475	4.72562	44.06154	7.96273	9.19987	14.90073	44.59593	23.11082	0.03431	0.06505	0.12699	0.07135	10.05416	-4.82711	-501.31402	0.82526	0.54518	32.19178	-4.31307	0.50551	1.46934	8.82000	0.44076	0.57016	-1.16497	0.36104	0.90305	0.01465	0.51579
protein|530	4.71646	32.71479	8.74835	12.16331	24.81749	35.76074	26.73415	0.04439	0.06736	0.03456	0.03960	1.08222	-34.40183	-29.99088	0.93191	0.58148	-16.37108	-6.46925	0.53446	1.08699	6.40000	0.45282	0.58358	-1.15637	0.68960	0.72300	0.01787	0.59397
protein|548	14.33108	19.39737	6.44333	5.74520	22.50804	53.77304	55.07261	0.04060	0.04877	0.04269	0.03591	1.18443	10.41004	9.17789	0.82591	0.53697	-12.07178	509.54585	0.53616	1.30686	7.21000	0.48993	0.55875	-1.30364	1.05629	0.39179	0.01803	0.61580
protein|577	-1.08103	16.16175	8.67455	7.93012	15.17601	24.09080	40.90796	0.03843	0.06487	0.04698	0.09021	1.75330	-10.15600	4.76349	0.74477	0.59909	15.59394	-6.86989	0.50096	1.20888	10.44000	0.52088	0.71373	-1.26724	1.42996	0.55854	0.01546	0.57519
protein|615	-1.23526	13.69393	25.25635	9.65714	27.77963	42.31446	32.08884	0.06529	0.07202	0.05227	0.04572	0.76275	-4.19684	3.39778	0.57137	0.60399	4.66212	-4.84658	0.48318	0.99480	0.59000	0.43453	0.38973	-0.45253	1.51394	0.78172	0.02052	0.63930
protein|640	5.54855	23.31463	9.99539	10.86515	11.83495	82.15570	74.50723	0.04534	0.05269	0.03616	0.05700	0.52613	-2.89964	-11.35126	0.43324	0.64056	9.45061	-7.22614	0.47670	1.16796	0.41000	0.41511	0.44227	-0.76865	1.38871	0.72537	0.01543	0.59844
protein|652	6.16510	13.29147	19.23740	10.95770	27.25397	27.87983	25.90578	0.06549	0.04116	0.04972	0.03954	0.51220	-4.93173	-6.68006	0.38907	0.62386	74.04426	-6.69774	0.46499	1.28983	-3.61000	0.41769	0.49339	-0.92877	0.96325	0.91435	0.01841	0.60302
protein|713	0.39792	22.08182	9.50097	7.02502	39.45081	42.78040	49.33317	0.04127	0.03220	0.04613	0.04912	6.57207	-27.32059	-27.81289	0.45099	0.61897	-13.53579	5.01538	0.51978	1.41343	4.66000	0.48877	0.52414	-1.52852	0.65454	0.31368	0.02090	0.62184
protein|720	5.29505	28.23440	8.02401	7.48698	32.24296	37.95290	26.19453	0.03363	0.04208	0.03073	0.03176	6.50505	-6.74179	-6.44391	0.14829	0.62318	-23.54633	5.10899	0.52393	1.49522	6.64000	0.48555	0.48944	-1.45340	0.61891	0.38787	0.01992	0.62751
protein|729	-1.98331	9.00066	6.91579	7.62411	19.17435	17.67581	21.13905	0.06278	0.04124	0.05649	0.03555	2.02414	12.26245	-10.44876	0.36453	0.59599	-8.77883	9.11577	0.51286	1.48551	8.68000	0.50232	0.47737	-1.33901	0.61122	0.30888	0.01773	0.62156
protein|745	5.76731	8.50027	6.15846	8.93278	15.74351	84.07540	61.84264	0.03253	0.09367	0.04636	0.03632	1.09905	13.67103	-20.03243	0.35706	0.54261	-10.70006	8.62991	0.52061	1.42620	1.76000	0.42890	0.47719	-1.11649	1.12232	0.38817	0.01481	0.63610
protein|791	4.80050	29.71976	8.64166	6.96033	14.34997	82.41917	89.05699	0.04636	0.08321	0.06368	0.04191	2.64710	-5.71288	-9.75280	0.45733	0.65807	-9.47328	12.66308	0.45921	-0.84218	-0.84000	0.37356	0.47125	-1.54040	2.16162	0.83685	0.01645	0.59830
protein|814	4.41685	14.77842	12.42637	9.03423	11.88130	121.46848	103.94412	0.06511	0.03374	0.06581	0.07466	-6.36544	-9.29968	19.84792	0.53252	0.51941	-12.51457	2.71437	0.43070	-1.25944	2.31000	0.36632	0.46738	-1.34934	2.04773	0.78501	0.01610	0.61092
protein|844	5.55173	17.56854	9.04668	12.10480	24.62591	50.65022	50.02556	0.08866	0.03096	0.10180	0.07500	6.34646	-7.07900	6.48314	1.11321	0.55226	11.59860	4.39546	0.54292	1.13696	6.05000	0.46141	0.54501	-1.19422	1.73249	0.29900	0.01197	0.61084
protein|860	5.06572	10.40277	7.85612	9.25218	19.68580	25.61726	22.88514	0.06581	0.07092	0.09545	0.05638	5.04241	-14.11397	2.50168	1.17032	0.61217	4.64986	5.24063	0.56782	1.43045	9.41000	0.48772	0.54649	-0.72079	1.39250	0.38615	0.01543	0.59844
protein|873	3.59861	29.01565	6.65851	12.77239	17.97480	54.75054	33.63382	0.03760	0.13166	0.05692	0.03840	1.71637	-3.38319	2.92283	0.99973	0.62589	3.45714	4.69399	0.59656	1.33315	7.30000	0.47277	0.55970	-0.57251	1.21523	0.34795	0.01450	0.62817
protein|889	-1.78790	10.70886	15.75727	7.28503	11.22484	25.94673	48.84690	0.09757	0.08007	0.03770	0.03363	1.02824	-2.29039	2.13110	0.63789	0.52804	2.35519	4.69210	0.58857	-1.16047	2.61000	0.41836	0.58333	-0.66797	1.24497	0.32427	0.01468	0.61460
protein|900	14.22130	13.48327	7.08503	13.03119	10.66662	48.97572	70.91125	0.03096	0.12562	0.09598	0.05663	1.82512	-2.03938	1.72943	0.83781	0.57362	2.35104	-247.52341	0.50472	-0.94122	0.63000	0.41471	0.49113	-0.05835	0.93792	0.27674	0.01339	0.63128
protein|915	5.26608	18.80954	9.15855	11.11263	21.46869	26.58465	25.21096	0.05056	0.12562	0.12562	0.12562	0.89478	-1.64205	1.94621	0.88424	0.60782	1.88807	-2.16715	0.27854	-0.78165	-0.78000	0.41541	0.31092	1.15902	0.23830	0.42598	0.01518	0.63740
protein|928	5.26661	16.76179	11.51086	6.60335	17.77449	42.58955	37.39964	0.07434	0.12562	0.12562	0.12562	1.35483	-1.40161	3.14178	-5.83333	0.60805	2.28496	-1.22489	0.14288	-0.56358	-1.92000	0.40101	0.31092	2.19221	0.05174	0.41046	0.01037	0.65485
